iteration,epoch,batch,loss,words/sec,time_elapsed,best_perplexity
200,1,200,3.8150923252105713,38602.36166685567,9.476507663726807,inf
400,1,400,3.6602389812469482,39203.18315201052,20.132517099380493,47.36080557679696
600,1,600,3.5787575244903564,32420.123966289473,30.659658670425415,40.256913134197944
800,1,800,3.629028081893921,39631.85824564331,41.59366703033447,37.16034666233226
1000,1,1000,3.4449515342712402,38581.23216119118,52.19016456604004,34.40798272067838
1200,1,1200,3.4320619106292725,30752.307401909613,63.68757629394531,31.366276181351456
1400,1,1400,3.4449994564056396,41008.20810936481,74.43326568603516,29.16836651624186
1600,1,1600,3.3429322242736816,34956.38033043499,85.1984715461731,26.64045399076305
1800,1,1800,3.179138660430908,39783.69198613986,95.91767477989197,24.898908352833377
2000,1,2000,3.154536008834839,35640.24527826334,106.45896124839783,23.695137342897656
2200,1,2200,3.307016611099243,39323.16082404346,116.85971927642822,22.376157327077678
2400,1,2400,3.198402166366577,37681.32124030548,128.01692605018616,21.26382586564435
2600,1,2600,3.204803943634033,39302.376908611586,139.02356147766113,20.335899094764407
2800,1,2800,3.1051361560821533,37577.97630384022,149.46881461143494,19.52998094919446
3000,1,3000,3.0855553150177,39873.84245646172,160.65432000160217,18.92712547907149
3200,1,3200,2.885005235671997,31713.097042859357,171.15327763557434,18.34768594355876
3400,1,3400,3.1279184818267822,34139.017061623155,182.338547706604,17.587005760231577
3600,1,3600,2.9987151622772217,39176.49602231653,193.45221614837646,17.167557190352323
3800,1,3800,2.8908610343933105,42274.78912172026,203.73172521591187,16.541351221627554
4000,1,4000,2.9575862884521484,31270.84077519579,214.46761679649353,16.158749104853328
4200,1,4200,2.8497023582458496,35273.49050584719,224.89183044433594,15.699497897217778
4400,1,4400,2.629016876220703,38062.46233679881,235.4295539855957,15.419749284426903
4600,1,4600,2.960500478744507,31047.413913381926,246.31327843666077,15.073026734023863
4800,1,4800,3.0857882499694824,36750.07702078372,257.18025517463684,14.828437546564677
5000,1,5000,2.7447564601898193,38659.41465024555,267.7774498462677,14.295959704942161
5200,1,5200,2.8064844608306885,35461.27163650171,278.6279239654541,14.110423320406921
