Reading from file: results/training_log.csv
Headers: ['iteration', 'epoch', 'batch', 'loss', 'words/sec', 'time_elapsed', 'best_perplexity']
['5000', '1', '5000', '2.7447564601898193', '38659.41465024555', '267.7774498462677', '14.295959704942161']
['10000', '1', '10000', '2.553292989730835', '36887.68502298905', '536.7664501667023', '10.448931051673467']
['15000', '2', '3750', '2.314405679702759', '36514.13382593222', '805.0490169525146', '8.82537750057698']
['20000', '2', '8750', '2.3670177459716797', '37078.515286653106', '1072.3333921432495', '7.919494313094736']
['25000', '3', '2500', '2.2161476612091064', '38398.55112318987', '1340.7287938594818', '7.427208486540383']
['30000', '3', '7500', '1.9287488460540771', '41673.68118664604', '1605.5993432998657', '7.083698064260981']
['35000', '4', '1250', '2.3779985904693604', '30010.1648941671', '1872.8927812576294', '6.780163565898999']
['40000', '4', '6250', '2.1566357612609863', '41965.531719712686', '2138.317649126053', '6.584701836063976']
['45000', '4', '11250', '1.8317410945892334', '40024.154250198604', '2405.1421065330505', '6.3801873071052215']
['50000', '5', '5000', '1.9888123273849487', '36890.72493669086', '2672.0606231689453', '6.235406826948196']
['55000', '5', '10000', '1.85488760471344', '41221.06509871231', '2936.8259012699127', '6.163246295991645']
['60000', '6', '3750', '1.9223670959472656', '32264.375634907843', '3205.6908934116364', '6.035122883822609']
['65000', '6', '8750', '1.7609623670578003', '28665.476153477957', '3469.5541291236877', '5.961860688676471']
